id,cd_acao_rdz,nm_empresa,setor_economico,subsetor,segmento,cd_acao,tx_cnpj
1,CSAN,COSAN,"PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",CSAN3,50746577000115
2,DMMO,DOMMO,"PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO","DMMO11, DMMO3",08926302000105
3,ENAT,ENAUTA PART,"PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",ENAT3,11669021000110
4,RPMG,PET MANGUINH,"PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",RPMG3,33412081000196
5,PETR,PETROBRAS,"PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO","PETR4, PETR3",33000167000101
6,BRDT,PETROBRAS BR,"PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",BRDT3,34274233000102
7,PRIO,PETRORIO,"PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",PRIO3,10629105000168
8,UGPA,ULTRAPAR,"PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",UGPA3,33256439000139
9,LUPA,LUPATECH,"PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS",EQUIPAMENTOS E SERVIÇOS,LUPA3,89463822000112
10,OSXB,OSX BRASIL,"PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS",EQUIPAMENTOS E SERVIÇOS,OSXB3,09112685000132
