dt_pregao,cd_acao,tp_merc,vl_abertura,vl_maximo,vl_minimo,vl_medio,vl_fechamento,qt_tit_neg,vl_volume,cd_acao_rdz,cd_acao_com_sufixo,id_empresa
2022-10-21,CSAN3,10,16.57,17.21,16.49,16.92,17.1,13546300,229295085.00,CSAN,CSAN3.SA,1
2022-10-21,DMMO3,10,1.79,1.82,1.79,1.8,1.8,12004300,21663057.00,DMMO,DMMO3.SA,2
2022-10-21,ENAT3,10,15.26,15.71,15.15,15.47,15.53,1447400,22402143.00,ENAT,ENAT3.SA,3
2022-10-21,RPMG3,10,1.89,1.91,1.85,1.87,1.89,3300,6177.00,RPMG,RPMG3.SA,4
2022-10-21,PETR3,10,40.43,42.08,40.13,41.49,41.56,32623200,1353845534.00,PETR,PETR3.SA,5
2022-10-21,PETR4,10,36.45,38.39,36.39,37.73,37.72,139601400,5267364961.00,PETR,PETR4.SA,5
2022-10-21,PRIO3,10,33.09,34.08,33.09,33.68,33.85,9791200,329770209.00,PRIO,PRIO3.SA,7
2022-10-21,UGPA3,10,13.17,13.69,13.13,13.44,13.58,7701500,103508773.00,UGPA,UGPA3.SA,8
2022-10-21,LUPA3,10,3.52,3.65,3.48,3.57,3.59,585300,2094891.00,LUPA,LUPA3.SA,9
2022-10-21,OSXB3,10,6.13,6.3,5.93,6.12,6.15,4000,24498.00,OSXB,OSXB3.SA,10
2022-10-21,BRAP4,10,24.73,25.78,24.62,25.4,25.51,4416300,112194559.00,BRAP,BRAP4.SA,11
2022-10-21,BRAP3,10,23.03,23.54,22.75,23.19,23.23,82900,1922510.00,BRAP,BRAP3.SA,11
2022-10-21,VALE3,10,71.8,74.68,71.44,73.51,74.13,36846800,2708625883.00,VALE,VALE3.SA,15
2022-10-21,FESA4,10,53.09,54.45,52.94,53.66,53.78,170400,9145246.00,FESA,FESA4.SA,16
2022-10-21,GGBR4,10,26.45,27.22,26.25,26.88,26.98,11281700,303318064.00,GGBR,GGBR4.SA,17
2022-10-21,GGBR3,10,21.91,22.4,21.91,22.19,22.22,15800,350633.00,GGBR,GGBR3.SA,17
2022-10-21,GOAU3,10,10.81,11.05,10.77,10.9,10.88,117000,1276230.00,GOAU,GOAU3.SA,18
2022-10-21,GOAU4,10,11.53,11.78,11.43,11.67,11.69,13942600,162718234.00,GOAU,GOAU4.SA,18
2022-10-21,CSNA3,10,13.3,14.19,13.09,13.9,14.19,17374800,241528080.00,CSNA,CSNA3.SA,19
2022-10-21,USIM3,10,8.27,8.55,8.09,8.39,8.5,327900,2754349.00,USIM,USIM3.SA,20
2022-10-21,USIM5,10,7.53,7.83,7.43,7.689999999999999,7.81,22152100,170496226.00,USIM,USIM5.SA,20
2022-10-21,MGEL4,10,16.0,16.26,16.0,16.1,16.11,1800,28984.00,MGEL,MGEL4.SA,21
2022-10-21,PMAM3,10,6.07,6.15,5.93,6.01,6.01,57500,346082.00,PMAM,PMAM3.SA,24
2022-10-21,BRKM5,10,34.3,34.74,33.82,34.38,34.53,2434000,83681024.00,BRKM,BRKM5.SA,25
2022-10-21,BRKM3,10,34.55,34.55,33.86,34.09,34.07,14900,507996.00,BRKM,BRKM3.SA,25
2022-10-21,BRKM6,10,29.5,29.5,27.97,28.73,27.97,200,5747.00,BRKM,BRKM6.SA,25
2022-10-21,FHER3,10,13.85,14.46,13.84,14.18,14.31,275100,3903206.00,FHER,FHER3.SA,28
2022-10-21,CRPG5,10,26.07,26.4,26.07,26.23,26.4,4100,107551.00,CRPG,CRPG5.SA,30
2022-10-21,UNIP3,10,90.01,94.53,90.01,92.47,94.17,17600,1627539.00,UNIP,UNIP3.SA,31
2022-10-21,UNIP5,10,103.8,107.99,103.8,106.49,107.21,1000,106496.00,UNIP,UNIP5.SA,31
2022-10-21,UNIP6,10,106.93,112.08,106.6,110.08,111.0,217800,23977247.00,UNIP,UNIP6.SA,31
2022-10-21,EUCA3,10,11.3,11.6,11.16,11.4,11.6,1600,18243.00,EUCA,EUCA3.SA,33
2022-10-21,EUCA4,10,7.4,7.72,7.4,7.56,7.63,26100,197529.00,EUCA,EUCA4.SA,33
2022-10-21,RANI3,10,9.26,9.35,9.03,9.16,9.12,2147200,19669688.00,RANI,RANI3.SA,34
2022-10-21,KLBN3,10,4.2,4.24,4.14,4.2,4.22,437400,1837228.00,KLBN,KLBN3.SA,35
2022-10-21,KLBN11,10,20.43,20.79,20.27,20.6,20.64,5000600,103018602.00,KLBN,KLBN11.SA,35
2022-10-21,KLBN4,10,4.09,4.13,4.04,4.09,4.12,1174600,4812205.00,KLBN,KLBN4.SA,35
2022-10-21,SUZB3,10,49.54,49.94,48.52,49.48,49.69,4510700,223193498.00,SUZB,SUZB3.SA,39
2022-10-21,SNSY5,10,3.07,3.08,2.9,2.97,3.0,4300,12797.00,SNSY,SNSY5.SA,41
2022-10-21,ETER3,10,12.11,12.54,12.03,12.31,12.36,576000,7092753.00,ETER,ETER3.SA,42
2022-10-21,HAGA4,10,1.31,1.32,1.29,1.3,1.29,6600,8590.00,HAGA,HAGA4.SA,43
2022-10-21,HAGA3,10,3.54,3.54,3.29,3.32,3.31,71900,239166.00,HAGA,HAGA3.SA,43
2022-10-21,PTBL3,10,12.44,13.6,12.41,13.19,13.18,1769600,23344072.00,PTBL,PTBL3.SA,44
2022-10-21,AZEV4,10,2.25,2.27,2.18,2.22,2.22,166400,370513.00,AZEV,AZEV4.SA,45
2022-10-21,AZEV3,10,2.23,2.31,2.13,2.22,2.28,67200,149565.00,AZEV,AZEV3.SA,45
2022-10-21,TCNO4,10,0.97,0.97,0.92,0.94,0.96,13700,12951.00,TCNO,TCNO4.SA,47
2022-10-21,TCNO3,10,1.21,1.21,1.21,1.21,1.21,900,1089.00,TCNO,TCNO3.SA,47
2022-10-21,MILS3,10,12.99,13.66,12.92,13.42,13.31,1357700,18225585.00,MILS,MILS3.SA,48
2022-10-21,EMBR3,10,12.27,12.58,12.16,12.43,12.53,8016300,99693054.00,EMBR,EMBR3.SA,49
2022-10-21,FRAS3,10,12.91,13.39,12.91,13.24,13.34,307300,4069527.00,FRAS,FRAS3.SA,50
2022-10-21,POMO3,10,2.37,2.37,2.31,2.34,2.36,85900,201127.00,POMO,POMO3.SA,51
2022-10-21,POMO4,10,2.79,2.79,2.71,2.74,2.78,12091100,33197872.00,POMO,POMO4.SA,51
2022-10-21,RAPT3,10,8.9,9.45,8.7,9.12,9.25,73600,671443.00,RAPT,RAPT3.SA,52
2022-10-21,RAPT4,10,9.62,9.89,9.51,9.72,9.81,2359700,22948662.00,RAPT,RAPT4.SA,52
2022-10-21,RCSL4,10,0.97,0.99,0.96,0.97,0.98,304000,295285.00,RCSL,RCSL4.SA,53
2022-10-21,RCSL3,10,2.15,2.22,2.11,2.15,2.18,460000,991174.00,RCSL,RCSL3.SA,53
2022-10-21,RSUL4,10,74.13,74.44,74.11,74.22,74.3,700,51960.00,RSUL,RSUL4.SA,54
2022-10-21,TUPY3,10,28.12,29.37,27.88,28.89,28.79,927500,26799501.00,TUPY,TUPY3.SA,55
2022-10-21,MWET4,10,10.7,10.88,10.7,10.78,10.83,1900,20487.00,MWET,MWET4.SA,56
2022-10-21,SHUL4,10,4.7,4.79,4.65,4.74,4.79,265600,1259766.00,SHUL,SHUL4.SA,57
2022-10-21,WEGE3,10,34.64,35.51,34.47,34.98,35.2,6512600,227874598.00,WEGE,WEGE3.SA,58
2022-10-21,EALT3,10,9.5,9.5,9.5,9.5,9.5,100,950.00,EALT,EALT3.SA,59
2022-10-21,EALT4,10,8.55,8.6,8.37,8.5,8.37,16300,138612.00,EALT,EALT4.SA,59
2022-10-21,ROMI3,10,15.39,15.79,15.28,15.57,15.6,339300,5284043.00,ROMI,ROMI3.SA,61
2022-10-21,INEP4,10,1.28,1.35,1.26,1.3,1.34,1230400,1607248.00,INEP,INEP4.SA,62
2022-10-21,INEP3,10,1.36,1.44,1.32,1.37,1.39,3444600,4735446.00,INEP,INEP3.SA,62
2022-10-21,KEPL3,10,24.17,25.27,24.17,24.89,24.9,1918700,47774141.00,KEPL,KEPL3.SA,63
2022-10-21,TASA4,10,15.61,16.14,15.54,15.89,15.95,657100,10441412.00,TASA,TASA4.SA,69
2022-10-21,TASA3,10,15.99,16.26,15.8,15.96,15.95,25000,399158.00,TASA,TASA3.SA,69
