cnpj,data_atualizacao,nivel_atividade,empresa_porte,saude_tributaria,optante_simples,optante_simei
39392850000118,2023-05-28 01:34:12.591974,,,,,
40449809000110,2023-05-28 01:34:12.591974,,,,,
42968706000191,2023-05-28 01:34:12.591974,,,,,
47468027000177,2023-05-28 01:34:12.591974,,,,,
47498617000142,2023-05-28 01:34:12.591974,,,,,
01656069000130,2023-05-28 01:34:12.591974,,,,,
43365029000180,2023-05-28 01:34:12.591974,,,,,
47156099000189,2023-05-28 01:34:12.591974,,,,,
46592114000179,2023-05-28 01:34:12.591974,,,,,
29518739000171,2023-05-28 01:34:12.591974,,,,,
13856859000149,2023-05-28 01:34:12.591974,,,,,
11771494000124,2023-05-28 01:34:12.591974,,,,,
32745406000190,2023-05-28 01:34:12.591974,,,,,
37987860000170,2023-05-28 01:34:12.591974,,,,,
24853372000129,2023-05-28 01:34:12.591974,,,,,
37150340000109,2023-05-28 01:34:12.591974,,,,,
21115155000143,2023-05-28 01:34:12.591974,,,,,
15544415000101,2023-05-28 01:34:12.591974,,,,,
27914477000139,2023-05-28 01:34:12.591974,,,,,
25115671000129,2023-05-28 01:34:12.591974,,,,,
04885987000120,2023-05-28 01:34:12.591974,,,,,
30432840000194,2023-05-28 01:34:12.591974,,,,,
22444881002620,2023-05-28 01:34:12.591974,,,,,
33811440000188,2023-05-28 01:34:12.591974,,,,,
37525530000163,2023-05-28 01:34:12.591974,,,,,
37565813000139,2023-05-28 01:34:12.591974,,,,,
36758256000100,2023-05-28 01:34:12.591974,,,,,
90256744000164,2023-05-28 01:34:12.591974,,,,,
18853537000160,2023-05-28 01:34:12.591974,,,,,
25524562000165,2023-05-28 01:34:12.591974,,,,,
63849194000114,2023-05-28 01:34:12.591974,,,,,
37560823000181,2023-05-28 01:34:12.591974,,,,,
11012016000130,2023-05-28 01:34:12.591974,,,,,
47883864000162,2023-05-28 01:34:12.591974,,,,,
47884401000115,2023-05-28 01:34:12.591974,,,,,
21241276000131,2023-05-28 01:34:12.591974,,,,,
32797369000163,2023-05-28 01:34:12.591974,,,,,
41405129000167,2023-05-28 01:34:12.591974,,,,,
33878449000106,2023-05-28 01:34:12.591974,,,,,
11293679000170,2023-05-28 01:34:12.591974,,,,,
14657682000114,2023-05-28 01:34:12.591974,,,,,
41657521000101,2023-05-28 01:34:12.591974,,,,,
41597858000162,2023-05-28 01:34:12.591974,,,,,
19204272000131,2023-05-28 01:34:12.591974,,,,,
16753031000153,2023-05-28 01:34:12.591974,,,,,
36391821000143,2023-05-28 01:34:12.591974,,,,,
27403146000304,2023-05-28 01:34:12.591974,,,,,
37717358000140,2023-05-28 01:34:12.591974,,,,,
01642494000170,2023-05-28 01:34:12.591974,,,,,
07595746000134,2023-05-28 01:34:12.591974,,,,,
20511710000193,2023-05-28 01:34:12.591974,,,,,
17980488000163,2023-05-28 01:34:12.591974,,,,,
44010604000194,2023-05-28 01:34:12.591974,,,,,
94720497000166,2023-05-28 01:34:12.591974,,,,,
43745558000109,2023-05-28 01:34:12.591974,,,,,
42680882000123,2023-05-28 01:34:12.591974,,,,,
39242017000190,2023-05-28 01:34:12.591974,,,,,
15441078000119,2023-05-28 01:34:12.591974,,,,,
43760976000175,2023-05-28 01:34:12.591974,,,,,
40577616000144,2023-05-28 01:34:12.591974,,,,,
40581440000102,2023-05-28 01:34:12.591974,,,,,
21283529000130,2023-05-28 01:34:12.591974,,,,,
13574684000187,2023-05-28 01:34:12.591974,,,,,
